Feature,Importance
eqpdays,0.04654014
refurb_new,0.03651403
months,0.03504519
mou_Mean,0.0208629
hnd_webcap,0.020539226
hnd_price,0.020141304
uniqsubs,0.01723504
asl_flag,0.016078914
totmrc_Mean,0.015935866
creditcd,0.015262538
avgqty,0.015181691
change_mou,0.0150089655
mou_cvce_Mean,0.014090931
infobase,0.013781342
crclscod,0.013427685
lor,0.013192072
avgrev,0.012730268
avgmou,0.012701802
ovrmou_Mean,0.012370309
vceovr_Mean,0.011888948
ovrrev_Mean,0.011822847
totcalls,0.01107557
avg3mou,0.010937498
change_rev,0.010924125
HHstatin,0.010853657
ethnic,0.010700789
ownrent,0.010502129
dualband,0.010399358
avg3qty,0.01027533
dwllsize,0.0102384975
drop_vce_Mean,0.0102381
complete_Mean,0.009697231
cc_mou_Mean,0.00969062
mouiwylisv_Mean,0.009605156
avg3rev,0.009466296
marital,0.009444927
mou_opkv_Mean,0.009433865
avg6rev,0.009411644
kid16_17,0.009205371
drop_blk_Mean,0.009180319
adjqty,0.009146576
iwylis_vce_Mean,0.009136705
actvsubs,0.008903691
inonemin_Mean,0.008888374
rev_Mean,0.0088469405
peak_vce_Mean,0.008740287
mouowylisv_Mean,0.008679526
adjmou,0.008671179
opk_vce_Mean,0.008628807
attempt_Mean,0.008435107
mou_peav_Mean,0.008407228
comp_vce_Mean,0.008368148
adjrev,0.008353028
avg6qty,0.00827895
comp_dat_Mean,0.008225429
recv_vce_Mean,0.008212318
phones,0.008193856
plcd_vce_Mean,0.00817803
rv,0.008124664
mou_rvce_Mean,0.008031274
ccrndmou_Mean,0.007958705
roam_Mean,0.007901826
avg6mou,0.0078003486
mou_pead_Mean,0.00774015
custcare_Mean,0.0077046934
mou_opkd_Mean,0.0076803123
opk_dat_Mean,0.007587531
truck,0.0075834063
area,0.0075798477
dwlltype,0.0075058662
totrev,0.0074679363
threeway_Mean,0.0074520526
totmou,0.0074335947
income,0.0073665404
owylis_vce_Mean,0.0070989565
models,0.0070103006
unan_dat_Mean,0.006956478
datovr_Mean,0.0068659056
unan_vce_Mean,0.0067377263
blck_vce_Mean,0.0066739363
da_Mean,0.0066361045
mou_cdat_Mean,0.006611948
peak_dat_Mean,0.0065671634
callwait_Mean,0.0065175556
new_cell,0.0061990754
kid11_15,0.0061680344
blck_dat_Mean,0.0061392784
forgntvl,0.0061247605
prizm_social_one,0.0059730406
adults,0.0057969172
kid3_5,0.005661997
recv_sms_Mean,0.005458262
drop_dat_Mean,0.0054152985
plcd_dat_Mean,0.0053314543
numbcars,0.005294168
kid6_10,0.005173532
kid0_2,0.0047426405
callfwdv_Mean,0.0
